Customer_ID,Avg_Ratings,Recency,Frequency,Monetary,Age,Gender,Income,Cluster
37249.0,3.4,24,5,6485.3895275,19.0,Male,High,0
69749.0,2.8,1,5,4089.8812429,20.0,Male,Low,0
30192.0,4.0,128,4,7337.481177,19.0,Male,Low,0
27901.0,1.3333333333333333,28,3,1334.9315761999999,22.0,Male,Low,2
41289.0,3.6666666666666665,93,3,7067.881229,20.0,Male,Medium,1
97285.0,2.0,54,6,7145.0715092,23.0,Female,High,0
31878.0,3.0,58,4,6865.2440191999995,23.0,Female,Medium,0
19136.0,2.6666666666666665,101,3,5688.919659,19.0,Female,Medium,2
66883.0,3.0,53,5,5268.0256532799995,22.0,Female,High,0
31930.0,1.6666666666666667,59,3,6937.979818,22.0,Female,Medium,2
74671.0,4.0,222,2,4299.054409,20.0,Female,Medium,4
98300.0,2.25,104,4,5538.17715268,34.0,Male,Medium,3
69939.0,3.0,107,5,10475.3682193,21.0,Male,Medium,0
71803.0,4.0,280,2,1941.3528391,19.0,Female,High,4
40654.0,3.75,27,4,6515.94722247,23.0,Male,High,1
42165.0,1.6666666666666667,120,3,3368.3063913,20.0,Male,Medium,2
63914.0,2.857142857142857,117,7,6706.9692615,20.0,Male,High,0
42410.0,2.0,27,1,204.7455979,21.0,Female,Low,2
48869.0,3.3333333333333335,15,6,7408.7343474,20.0,Female,High,0
47037.0,3.25,35,4,2904.1017357,18.0,Male,High,1
28381.0,3.0,66,3,4933.3024618,19.0,Male,Medium,2
23097.0,3.3333333333333335,15,9,12159.658646,20.0,Male,Medium,0
42540.0,2.3333333333333335,63,3,5044.5481230000005,26.0,Male,Medium,2
55388.0,3.5,36,2,2361.3564921,22.0,Male,High,1
98256.0,3.0,24,1,479.4125799,26.0,Female,Low,2
90935.0,2.4,96,5,7024.8347006,25.0,Female,Medium,0
65701.0,3.6,107,5,6675.6600812,19.0,Male,Medium,0
23713.0,3.5,40,4,6461.0466313,19.0,Female,Low,0
66911.0,2.6666666666666665,76,3,1743.6330812,26.0,Male,High,2
38517.0,2.3333333333333335,89,3,6092.0611137,20.0,Male,Medium,2
65305.0,3.625,43,8,8923.5658957,19.0,Female,Low,0
31767.0,4.0,14,3,2668.0908938000002,19.0,Male,High,1
30637.0,3.6666666666666665,22,3,2743.4761381999997,23.0,Male,High,1
96840.0,2.6666666666666665,124,3,5450.677043500001,20.0,Male,Low,2
